timestamp,value,ground_truth,predicted
1741098600000,201,0,0
1741100400000,182,0,0
1741102200000,157,0,0
1741104000000,154,0,0
1741105800000,151,0,0
1741107600000,144,0,0
1741109400000,100,0,0
1741111200000,63,0,0
1741113000000,32,0,0
1741114800000,23,0,0
1741116600000,11,0,0
1741118400000,6,0,0
1741120200000,1,0,0
1741122000000,3,0,0
1741123800000,7,0,0
1741125600000,5,0,0
1741129200000,3,0,0
1741131000000,3,0,0
1741132800000,2,0,0
1741134600000,1,0,0
1741136400000,4,0,0
1741138200000,1,0,0
1741140000000,3,0,0
1741141800000,3,0,0
1741143600000,8,0,0
1741145400000,8,0,0
1741147200000,9,0,0
1741149000000,14,0,0
1741150800000,15,0,0
1741152600000,20,0,0
1741154400000,43,0,0
1741156200000,72,0,0
1741158000000,104,0,0
1741159800000,208,0,0
1741161600000,257,0,0
1741163400000,305,0,0
1741165200000,330,0,0
1741167000000,365,0,0
1741168800000,347,0,0
1741170600000,352,0,0
1741172400000,330,0,0
1741174200000,331,0,0
1741176000000,302,0,0
1741177800000,312,0,0
1741179600000,272,0,0
1741181400000,278,0,0
1741183200000,254,0,0
1741185000000,242,0,0
1741186800000,214,0,0
1741188600000,218,0,0
1741190400000,227,0,0
1741192200000,238,0,0
1741194000000,184,0,0
1741195800000,140,0,0
1741197600000,121,0,0
1741199400000,58,0,0
1741201200000,25,0,0
1741203000000,16,0,0
1741204800000,9,0,0
1741206600000,2,0,0
1741208400000,3,0,0
1741210200000,1,0,0
1741212000000,3,0,0
1741213800000,9,0,0
1741215600000,7,0,0
1741217400000,7,0,0
1741219200000,2,0,0
1741221000000,5,0,0
1741222800000,1,0,0
1741224600000,2,0,0
1741226400000,6,0,0
1741228200000,9,0,0
1741230000000,6,0,0
1741231800000,5,0,0
1741233600000,16,0,0
1741235400000,17,0,0
1741237200000,21,0,0
1741239000000,53,0,0
1741240800000,68,0,0
1741242600000,95,0,0
1741244400000,144,0,0
1741246200000,232,0,0
1741248000000,346,0,0
1741249800000,325,0,0
1741251600000,418,0,0
1741253400000,401,0,0
1741255200000,450,0,0
1741257000000,419,0,0
1741258800000,381,0,0
1741260600000,340,0,0
1741262400000,366,0,0
1741264200000,343,0,0
1741266000000,279,0,0
1741267800000,313,0,0
1741269600000,283,0,0
1741271400000,308,0,0
1741273200000,279,0,0
1741275000000,253,0,0
1741276800000,275,0,0
1741278600000,303,0,0
1741280400000,268,0,0
1741282200000,249,0,0
1741284000000,158,0,0
1741285800000,91,0,0
1741287600000,64,0,0
1741289400000,27,0,0
1741291200000,9,0,0
1741293000000,7,0,0
1741294800000,8,0,0
1741296600000,10,0,0
1741298400000,10,0,0
1741300200000,7,0,0
1741302000000,8,0,0
1741303800000,4,0,0
1741305600000,10,0,0
1741307400000,6,0,0
1741309200000,10,0,0
1741311000000,6,0,0
1741312800000,6,0,0
1741314600000,8,0,0
1741316400000,20,0,0
1741318200000,25,0,0
1741320000000,30,0,0
1741321800000,35,0,0
1741323600000,69,0,0
1741325400000,87,0,0
1741327200000,135,0,0
1741329000000,210,0,0
1741330800000,271,0,0
1741332600000,415,0,0
1741334400000,544,0,0
1741336200000,611,0,0
1741338000000,697,0,0
1741339800000,737,0,0
1741341600000,717,0,0
1741343400000,637,0,0
1741345200000,626,0,0
1741347000000,528,0,0
1741348800000,508,0,0
1741350600000,464,0,0
1741352400000,500,0,0
1741354200000,513,0,0
1741356000000,510,0,0
1741357800000,537,0,0
1741359600000,538,0,0
1741361400000,558,0,0
1741363200000,662,0,0
1741365000000,640,0,0
1741366800000,645,0,0
1741368600000,541,0,0
1741370400000,510,0,0
1741372200000,380,0,0
1741374000000,305,0,0
1741375800000,208,0,0
1741377600000,111,0,0
1741379400000,45,0,0
1741381200000,44,0,0
1741383000000,32,0,0
1741384800000,39,0,0
1741386600000,36,0,0
1741388400000,47,0,0
1741390200000,40,0,0
1741392000000,46,0,0
1741393800000,36,0,0
1741395600000,30,0,0
1741397400000,25,0,0
1741399200000,35,0,0
1741401000000,49,0,0
1741402800000,73,0,0
1741404600000,100,0,0
1741406400000,118,0,0
1741408200000,133,0,0
1741410000000,142,0,0
1741411800000,233,0,0
1741413600000,333,0,0
1741415400000,430,0,0
1741417200000,497,0,0
1741419000000,663,0,0
1741420800000,772,0,0
1741422600000,892,0,1
1741424400000,1044,0,1
1741426200000,1149,0,1
1741428000000,1302,0,1
1741429800000,1441,0,1
1741431600000,1385,0,1
1741433400000,1321,0,1
1741435200000,1153,0,1
1741437000000,1062,0,1
1741438800000,956,0,1
1741440600000,767,0,0
1741442400000,670,0,0
1741444200000,612,0,0
1741446000000,573,0,0
1741447800000,526,0,0
1741449600000,522,0,0
1741451400000,495,0,0
1741453200000,403,0,0
1741455000000,362,0,0
1741456800000,234,0,0
1741458600000,208,0,0
1741460400000,124,0,0
1741462200000,70,0,0
1741464000000,28,0,0
1741465800000,9,0,0
1741467600000,6,0,0
1741469400000,5,0,0
1741471200000,11,0,0
1741473000000,10,0,0
1741474800000,9,0,0
1741476600000,10,0,0
1741478400000,9,0,0
1741480200000,6,0,0
1741482000000,4,0,0
1741483800000,3,0,0
1741485600000,3,0,0
1741487400000,4,0,0
1741489200000,7,0,0
1741491000000,7,0,0
1741492800000,9,0,0
1741494600000,13,0,0
1741496400000,25,0,0
1741498200000,33,0,0
1741500000000,57,0,0
1741501800000,85,0,0
1741503600000,147,0,0
1741505400000,217,0,0
1741507200000,222,0,0
1741509000000,274,0,0
1741510800000,313,0,0
1741512600000,327,0,0
1741514400000,321,0,0
1741516200000,303,0,0
1741518000000,312,0,0
1741519800000,297,0,0
1741521600000,303,0,0
1741523400000,260,0,0
1741525200000,285,0,0
1741527000000,250,0,0
1741528800000,213,0,0
1741530600000,224,0,0
1741532400000,201,0,0
1741534200000,208,0,0
1741536000000,183,0,0
1741537800000,188,0,0
1741539600000,137,0,0
1741541400000,93,0,0
1741543200000,73,0,0
1741545000000,45,0,0
1741546800000,29,0,0
1741548600000,18,0,0
1741550400000,4,0,0
1741552200000,1,0,0
1741554000000,2,0,0
1741555800000,2,0,0
1741557600000,1,0,0
1741559400000,3,0,0
1741561200000,2,0,0
1741563000000,2,0,0
1741564800000,1,0,0
1741566600000,4,0,0
1741568400000,1,0,0
1741570200000,1,0,0
1741572000000,2,0,0
1741573800000,1,0,0
1741575600000,4,0,0
1741577400000,5,0,0
1741579200000,3,0,0
1741581000000,14,0,0
1741582800000,25,0,0
1741584600000,22,0,0
1741586400000,32,0,0
1741588200000,78,0,0
1741590000000,95,0,0
1741591800000,168,0,0
1741593600000,209,0,0
1741595400000,257,0,0
1741597200000,321,0,0
1741599000000,347,0,0
1741600800000,350,0,0
1741602600000,334,0,0
1741604400000,258,0,0
1741606200000,277,0,0
1741608000000,263,0,0
1741609800000,251,0,0
1741611600000,266,0,0
1741613400000,254,0,0
1741615200000,202,0,0
1741617000000,222,0,0
1741618800000,229,0,0
1741620600000,185,0,0
1741622400000,192,0,0
1741624200000,191,0,0
1741626000000,165,0,0
1741627800000,134,0,0
1741629600000,85,0,0
1741631400000,74,0,0
1741633200000,40,0,0
1741635000000,12,0,0
1741636800000,0,0,0
1741638600000,1,0,0
1741640400000,1,0,0
1741642200000,0,0,0
1741644000000,3,0,0
1741645800000,5,0,0
1741647600000,4,0,0
1741649400000,6,0,0
1741651200000,2,0,0
1741653000000,3,0,0
1741654800000,5,0,0
1741656600000,4,0,0
1741658400000,2,0,0
1741660200000,3,0,0
1741662000000,5,0,0
1741663800000,6,0,0
1741665600000,17,0,0
1741667400000,19,0,0
1741669200000,12,0,0
1741671000000,24,0,0
1741672800000,63,0,0
1741674600000,76,0,0
1741676400000,112,0,0
1741678200000,169,0,0
1741680000000,258,0,0
1741681800000,288,0,0
1741683600000,345,0,0
1741685400000,378,0,0
1741687200000,391,0,0
1741689000000,371,0,0
1741690800000,362,0,0
1741692600000,306,0,0
1741694400000,290,0,0
1741696200000,295,0,0
1741698000000,248,0,0
1741699800000,248,0,0
1741701600000,206,0,0
1741703400000,207,0,0
1741705200000,178,0,0
1741707000000,183,0,0
1741708800000,202,0,0
1741710600000,206,0,0
1741712400000,177,0,0
1741714200000,135,0,0
1741716000000,79,0,0
1741717800000,41,0,0
1741719600000,20,0,0
1741721400000,18,0,0
1741723200000,9,0,0
1741725000000,3,0,0
1741726800000,3,0,0
1741728600000,1,0,0
1741730400000,4,0,0
1741732200000,5,0,0
1741734000000,1,0,0
1741735800000,3,0,0
1741737600000,4,0,0
1741739400000,5,0,0
1741741200000,4,0,0
1741743000000,3,0,0
1741744800000,5,0,0
1741746600000,3,0,0
1741748400000,10,0,0
1741750200000,8,0,0
1741752000000,5,0,0
1741753800000,10,0,0
1741755600000,18,0,0
1741757400000,30,0,0
1741759200000,56,0,0
1741761000000,79,0,0
1741762800000,116,0,0
1741764600000,172,0,0
1741766400000,235,0,0
1741768200000,260,0,0
1741770000000,327,0,0
1741771800000,357,0,0
1741773600000,411,0,0
1741775400000,332,0,0
1741777200000,354,0,0
1741779000000,308,0,0
1741780800000,292,0,0
1741782600000,311,0,0
1741784400000,284,0,0
1741786200000,268,0,0
1741788000000,238,0,0
1741789800000,227,0,0
1741791600000,199,0,0
1741793400000,191,0,0
1741795200000,214,0,0
1741797000000,200,0,0
1741798800000,165,0,0
1741800600000,139,0,0
1741802400000,87,0,0
1741804200000,53,0,0
1741806000000,43,0,0
1741807800000,14,0,0
1741809600000,1,0,0
1741811400000,5,0,0
1741813200000,4,0,0
1741816800000,2,0,0
1741818600000,3,0,0
1741820400000,3,0,0
1741822200000,4,0,0
1741824000000,3,0,0
1741825800000,4,0,0
1741827600000,5,0,0
1741831200000,1,0,0
1741833000000,1,0,0
1741834800000,5,0,0
1741836600000,10,0,0
1741838400000,4,0,0
1741840200000,26,0,0
1741842000000,23,0,0
1741843800000,19,0,0
1741845600000,45,0,0
1741847400000,68,0,0
1741849200000,103,0,0
1741851000000,186,0,0
1741852800000,244,0,0
1741854600000,276,0,0
1741856400000,328,0,0
1741858200000,371,0,0
1741860000000,348,0,0
1741861800000,365,0,0
1741863600000,375,0,0
1741865400000,320,0,0
1741867200000,311,0,0
1741869000000,315,0,0
1741870800000,303,0,0
1741872600000,238,0,0
1741874400000,244,0,0
1741876200000,196,0,0
1741878000000,188,0,0
1741879800000,135,0,0
1741881600000,133,0,0
1741883400000,135,0,0
1741885200000,146,0,0
1741887000000,246,0,0
1741888800000,148,0,0
1741890600000,73,0,0
1741892400000,31,0,0
1741894200000,17,0,0
1741896000000,2,0,0
1741897800000,5,0,0
1741899600000,3,0,0
1741901400000,0,0,0
1741905000000,6,0,0
1741906800000,3,0,0
1741908600000,1,0,0
1741910400000,2,0,0
1741912200000,2,0,0
1741914000000,5,0,0
1741915800000,3,0,0
1741917600000,4,0,0
1741919400000,5,0,0
1741921200000,5,0,0
1741923000000,7,0,0
1741924800000,16,0,0
1741926600000,17,0,0
1741928400000,27,0,0
1741930200000,23,0,0
1741932000000,48,0,0
1741933800000,86,0,0
1741935600000,120,0,0
1741937400000,189,0,0
1741939200000,240,0,0
1741941000000,295,0,0
1741942800000,387,0,0
1741944600000,398,0,0
1741946400000,415,0,0
1741948200000,348,0,0
1741950000000,365,0,0
1741951800000,300,0,0
1741953600000,293,0,0
1741955400000,264,0,0
1741957200000,269,0,0
1741959000000,275,0,0
1741960800000,242,0,0
1741962600000,254,0,0
1741964400000,238,0,0
1741966200000,236,0,0
1741968000000,227,0,0
1741969800000,211,0,0
1741971600000,165,0,0
1741973400000,121,0,0
1741975200000,91,0,0
1741977000000,64,0,0
1741978800000,28,0,0
1741980600000,18,0,0
1741982400000,2,0,0
1741984200000,6,0,0
1741986000000,6,0,0
1741987800000,2,0,0
1741989600000,5,0,0
1741991400000,3,0,0
1741993200000,5,0,0
1741995000000,3,0,0
1741996800000,3,0,0
1741998600000,1,0,0
1742000400000,2,0,0
1742002200000,3,0,0
1742004000000,4,0,0
1742005800000,5,0,0
1742007600000,7,0,0
1742009400000,4,0,0
1742011200000,11,0,0
1742013000000,19,0,0
1742014800000,21,0,0
1742016600000,30,0,0
1742018400000,45,0,0
1742020200000,76,0,0
1742022000000,112,0,0
1742023800000,206,0,0
1742025600000,240,0,0
1742027400000,296,0,0
1742029200000,283,0,0
1742031000000,320,0,0
1742032800000,345,0,0
1742034600000,321,0,0
1742036400000,321,0,0
1742038200000,320,0,0
1742040000000,290,0,0
1742041800000,277,0,0
1742043600000,304,0,0
1742045400000,287,0,0
1742047200000,226,0,0
1742049000000,228,0,0
1742050800000,226,0,0
1742052600000,228,0,0
1742054400000,195,0,0
1742056200000,195,0,0
1742058000000,136,0,0
1742059800000,104,0,0
1742061600000,89,0,0
1742063400000,44,0,0
1742065200000,26,0,0
1742067000000,12,0,0
1742068800000,8,0,0
1742070600000,2,0,0
1742072400000,3,0,0
1742074200000,2,0,0
1742076000000,2,0,0
1742077800000,3,0,0
1742079600000,7,0,0
1742081400000,3,0,0
1742083200000,6,0,0
1742085000000,3,0,0
1742086800000,1,0,0
1742088600000,2,0,0
1742090400000,1,0,0
1742092200000,6,0,0
1742094000000,5,0,0
1742095800000,3,0,0
1742097600000,9,0,0
1742099400000,21,0,0
1742101200000,25,0,0
1742103000000,28,0,0
1742104800000,42,0,0
1742106600000,79,0,0
1742108400000,139,0,0
1742110200000,178,0,0
1742112000000,188,0,0
1742113800000,218,0,0
1742115600000,282,0,0
1742117400000,308,0,0
1742119200000,285,0,0
1742121000000,261,0,0
1742122800000,302,0,0
1742124600000,257,0,0
1742126400000,292,0,0
1742128200000,280,0,0
1742130000000,280,0,0
1742131800000,274,0,0
1742133600000,238,0,0
1742135400000,244,0,0
1742137200000,241,0,0
1742139000000,226,0,0
1742140800000,228,0,0
1742142600000,185,0,0
1742144400000,165,0,0
1742146200000,126,0,0
1742148000000,72,0,0
1742149800000,55,0,0
1742151600000,29,0,0
1742153400000,21,0,0
1742155200000,9,0,0
1742157000000,3,0,0
1742158800000,3,0,0
1742162400000,4,0,0
1742164200000,4,0,0
1742166000000,7,0,0
1742167800000,1,0,0
1742169600000,3,0,0
1742171400000,3,0,0
1742173200000,2,0,0
1742175000000,3,0,0
1742176800000,1,0,0
1742178600000,1,0,0
1742180400000,4,0,0
1742182200000,10,0,0
1742184000000,10,0,0
1742185800000,8,0,0
1742187600000,20,0,0
1742189400000,39,0,0
1742191200000,38,0,0
1742193000000,57,0,0
1742194800000,100,0,0
1742196600000,156,0,0
1742198400000,208,0,0
1742200200000,272,0,0
1742202000000,324,0,0
1742203800000,313,0,0
1742205600000,321,0,0
1742207400000,312,0,0
1742209200000,311,0,0
1742211000000,293,0,0
1742212800000,235,0,0
1742214600000,237,0,0
1742216400000,216,0,0
1742218200000,212,0,0
1742220000000,209,0,0
1742221800000,199,0,0
1742223600000,191,0,0
1742225400000,162,0,0
1742227200000,194,0,0
1742229000000,169,0,0
1742230800000,148,0,0
1742232600000,114,0,0
1742234400000,76,0,0
1742236200000,59,0,0
1742238000000,27,0,0
1742239800000,14,0,0
1742241600000,1,0,0
1742243400000,3,0,0
1742245200000,3,0,0
1742247000000,2,0,0
1742248800000,2,0,0
1742252400000,5,0,0
1742254200000,6,0,0
1742256000000,5,0,0
1742257800000,1,0,0
1742259600000,2,0,0
1742261400000,1,0,0
1742263200000,3,0,0
1742265000000,5,0,0
1742266800000,0,0,0
1742268600000,5,0,0
1742270400000,4,0,0
1742272200000,9,0,0
1742274000000,18,0,0
1742275800000,23,0,0
1742277600000,34,0,0
1742279400000,63,0,0
1742281200000,112,0,0
1742283000000,145,0,0
1742284800000,187,0,0
1742286600000,221,0,0
1742288400000,258,0,0
1742290200000,318,0,0
1742292000000,320,0,0
1742293800000,275,0,0
1742295600000,278,0,0
1742297400000,272,0,0
1742299200000,253,0,0
1742301000000,207,0,0
1742302800000,230,0,0
1742304600000,208,0,0
1742306400000,200,0,0
1742308200000,187,0,0
1742310000000,170,0,0
1742311800000,165,0,0
1742313600000,170,0,0
1742315400000,136,0,0
1742317200000,148,0,0
1742319000000,122,0,0
1742320800000,91,0,0
1742322600000,41,0,0
1742324400000,19,0,0
1742326200000,10,0,0
1742328000000,10,0,0
1742329800000,2,0,0
1742331600000,3,0,0
1742333400000,4,0,0
1742335200000,5,0,0
1742337000000,5,0,0
1742338800000,2,0,0
1742340600000,3,0,0
1742342400000,5,0,0
1742346000000,2,0,0
1742347800000,3,0,0
1742349600000,4,0,0
1742351400000,1,0,0
1742353200000,1,0,0
1742355000000,4,0,0
1742356800000,3,0,0
1742358600000,14,0,0
1742360400000,11,0,0
1742362200000,32,0,0
1742364000000,43,0,0
1742365800000,63,0,0
1742367600000,89,0,0
1742369400000,134,0,0
1742371200000,211,0,0
1742373000000,234,0,0
1742374800000,282,0,0
1742376600000,289,0,0
1742378400000,304,0,0
1742380200000,302,0,0
1742382000000,272,0,0
1742383800000,257,0,0
1742385600000,232,0,0
1742387400000,229,0,0
1742389200000,209,0,0
1742391000000,207,0,0
1742392800000,203,0,0
1742394600000,191,0,0
1742396400000,185,0,0
1742398200000,143,0,0
1742400000000,173,0,0
1742401800000,173,0,0
1742403600000,138,0,0
1742405400000,90,0,0
1742407200000,77,0,0
1742409000000,39,0,0
1742410800000,17,0,0
1742412600000,16,0,0
1742414400000,2,0,0
1742416200000,3,0,0
1742418000000,0,0,0
1742419800000,2,0,0
1742421600000,1,0,0
1742423400000,5,0,0
1742425200000,4,0,0
1742428800000,1,0,0
1742430600000,1,0,0
1742432400000,2,0,0
1742436000000,1,0,0
1742437800000,2,0,0
1742439600000,6,0,0
1742441400000,9,0,0
1742443200000,10,0,0
1742445000000,18,0,0
1742446800000,16,0,0
1742448600000,20,0,0
1742450400000,45,0,0
1742452200000,73,0,0
1742454000000,95,0,0
1742455800000,167,0,0
1742457600000,182,0,0
1742459400000,261,0,0
1742461200000,261,0,0
1742463000000,267,0,0
1742464800000,313,0,0
1742466600000,320,0,0
1742468400000,267,0,0
1742470200000,222,0,0
1742472000000,185,0,0
1742473800000,189,0,0
1742475600000,285,0,0
1742477400000,220,0,0
1742479200000,219,0,0
1742481000000,199,0,0
1742482800000,193,0,0
1742484600000,185,0,0
1742486400000,211,0,0
1742488200000,164,0,0
1742490000000,154,0,0
1742491800000,132,0,0
1742493600000,76,0,0
1742495400000,34,0,0
1742497200000,27,0,0
1742499000000,15,0,0
1742500800000,7,0,0
1742502600000,0,0,0
1742504400000,2,0,0
1742506200000,1,0,0
1742508000000,4,0,0
1742509800000,6,0,0
1742511600000,3,0,0
1742513400000,3,0,0
1742515200000,1,0,0
1742517000000,3,0,0
1742518800000,2,0,0
1742520600000,2,0,0
1742522400000,3,0,0
1742524200000,3,0,0
1742526000000,6,0,0
1742527800000,0,0,0
1742529600000,8,0,0
1742531400000,10,0,0
1742533200000,8,0,0
1742535000000,14,0,0
1742536800000,27,0,0
1742538600000,52,0,0
1742540400000,83,0,0
1742542200000,171,0,0
1742544000000,206,0,0
1742545800000,279,0,0
1742547600000,328,0,0
1742549400000,348,0,0
1742551200000,363,0,0
1742553000000,324,0,0
1742554800000,296,0,0
1742556600000,286,0,0
1742558400000,269,0,0
1742560200000,258,0,0
1742562000000,225,0,0
1742563800000,235,0,0
1742565600000,206,0,0
1742567400000,221,0,0
1742569200000,216,0,0
1742571000000,204,0,0
1742572800000,204,0,0
1742574600000,188,0,0
1742576400000,166,0,0
1742578200000,127,0,0
1742580000000,87,0,0
1742581800000,56,0,0
1742583600000,37,0,0
1742585400000,17,0,0
1742587200000,8,0,0
1742589000000,4,0,0
1742590800000,1,0,0
1742592600000,2,0,0
1742594400000,0,0,0
1742596200000,1,0,0
1742598000000,4,0,0
1742599800000,7,0,0
1742601600000,4,0,0
1742603400000,1,0,0
1742607000000,3,0,0
1742608800000,2,0,0
1742610600000,2,0,0
1742612400000,2,0,0
1742614200000,1,0,0
1742616000000,3,0,0
1742617800000,9,0,0
1742619600000,9,0,0
1742621400000,17,0,0
1742623200000,27,0,0
1742625000000,51,0,0
1742626800000,97,0,0
1742628600000,145,0,0
1742630400000,195,0,0
1742632200000,245,0,0
1742634000000,297,0,0
1742635800000,315,0,0
1742637600000,300,0,0
1742639400000,289,0,0
1742641200000,299,0,0
1742643000000,300,0,0
1742644800000,277,0,0
1742646600000,270,0,0
1742648400000,264,0,0
1742650200000,279,0,0
1742652000000,250,0,0
1742653800000,216,0,0
1742655600000,244,0,0
1742657400000,231,0,0
1742659200000,187,0,0
1742661000000,173,0,0
1742662800000,160,0,0
1742664600000,122,0,0
1742666400000,69,0,0
1742668200000,53,0,0
1742670000000,22,0,0
1742671800000,13,0,0
1742673600000,7,0,0
1742675400000,1,0,0
1742677200000,1,0,0
1742679000000,3,0,0
1742680800000,1,0,0
1742682600000,3,0,0
1742684400000,2,0,0
1742686200000,5,0,0
1742688000000,3,0,0
1742689800000,2,0,0
1742693400000,5,0,0
1742695200000,2,0,0
1742697000000,2,0,0
1742698800000,1,0,0
1742700600000,1,0,0
1742702400000,2,0,0
1742704200000,10,0,0
1742706000000,7,0,0
1742707800000,18,0,0
1742709600000,34,0,0
1742711400000,40,0,0
1742713200000,80,0,0
1742715000000,136,0,0
1742716800000,215,0,0
1742718600000,252,0,0
1742720400000,252,0,0
1742722200000,294,0,0
1742724000000,291,0,0
1742725800000,301,0,0
1742727600000,278,0,0
